[0.0, 0.0]
[-429.2972156276426, -522.6719128058132]
[-448.3484057970358, -569.6618891048074]
[-478.8032192729008, -634.4651571759806]
[-427.7885837702846, -557.6229083515949]
[-477.25412207495594, -607.4630631323043]
[-483.51666736225513, -662.282674792666]
[-405.7247617624716, -585.0583749943573]
[-449.65834607803333, -616.1960685635761]
[-444.1352635142827, -605.7559729330396]
[-416.7536936160289, -623.9767970321328]
[-355.66978213852246, -519.5386082692917]
[-406.4631538241745, -611.5620979859152]
[-394.96187039343494, -663.5889252882175]
[-385.32469467551977, -639.8159059277816]
[-382.7190973858526, -634.3376033544905]
[-374.91975356625386, -638.0556261005028]
[-367.1463954881204, -629.1995553806507]
[-360.4720522943611, -621.0124465172496]
[-359.4616254339978, -617.8174420129595]
[-355.3096137964488, -618.2638662372683]
[-358.3097474589712, -622.730386019111]
[-358.59966896463044, -613.8321885184405]
[-353.6079899563809, -605.6018964492424]
[-357.2890909214796, -607.1044130781781]
[-360.18869022336355, -599.1060091332763]
[-357.62082827725885, -596.3693591384457]
[-362.819948174232, -598.806016530732]
[-362.0091551566955, -603.326135484534]
[-358.27115858402163, -594.8115239616786]
[-354.55139392699607, -585.8934471940703]
[-354.067251460205, -600.4300801618346]
[-356.1024882259604, -602.0754705092976]
[-353.23717892738273, -614.9753782179826]
[-350.4098491661137, -595.317248462631]
[-304.14534493549615, -558.4423716676952]
[-316.5581664349054, -567.561166422135]
[-349.9356563812189, -610.2821040364443]
[-349.8526345489355, -603.2449957607439]
[-341.1142620678711, -610.7750333099616]
[-338.7180900604857, -609.6443803935714]
[-352.9738090624639, -615.5805515598936]
[-345.18829378848204, -608.0107137528311]
[-329.1896012216529, -611.5901138390847]
[-329.03305459432863, -618.1100704875537]
[-317.3403311059554, -616.1278994137899]
[-303.16609023183906, -605.8770504228826]
[-294.74464210645215, -611.2697545896145]
[-271.3244866846304, -582.3133680773992]
[-285.1311366669145, -604.4104114402015]
[-276.33192594800494, -606.5271133127383]
[-273.0349521364938, -600.1437174047935]
[-261.2018710404241, -602.1667828389228]
[-262.85779033144905, -611.7903555244735]
[-221.3051455649063, -563.5516031335095]
[-248.60590801215523, -621.4361394570163]
[-205.98885945257325, -564.7841463526314]
[-228.75086938938023, -616.507652335349]
[-221.7098036324179, -618.9505797723232]
[-194.106079549662, -615.8465788474034]
[-233.74361010501582, -639.5890087824397]
[-173.91937175693369, -564.4380012966419]
[-189.9577992592315, -632.7101993384383]
[-151.33541743492412, -580.8595262698107]
[-167.90650253141706, -632.9152472850902]
[-156.7433772041036, -629.6844438605054]
[-143.08177543764515, -615.1705648394445]
[-133.0101450829203, -599.1202965921699]
[-118.74914481850283, -584.0427114791943]
[-120.84459043468804, -613.8503851850024]
[-113.19067104941189, -618.907964165217]
[-106.44514486154858, -612.7147907501927]
[-107.15889462966697, -635.9861492566596]
[-96.42826198987264, -612.88254522448]
[-82.33249308132444, -616.6267087715445]
[-66.59804916817194, -618.3338998726304]
[-62.27931067584853, -612.7300683185559]
[-48.860592858977185, -616.4824284823655]
[-40.54171734843921, -625.6583000888246]
[-24.48621609894033, -610.1437507844645]
[-9.954376872516548, -594.8134369462605]
[-6.7826464204286685, -615.2918355927479]
[4.031919281874252, -598.9775928342439]
[2.5632873505816502, -599.2417544691494]
[11.339480144947467, -598.3681392117895]
[22.2785069627656, -595.3845509513247]
[31.188084141743374, -597.4294511851009]
[40.513061027356414, -606.6388314217427]
[27.046848199298676, -670.4206224039092]
[82.35112959310686, -573.0659244910664]
[80.00685097776818, -604.0196716904849]
[74.0079020100925, -608.4019570927633]
[0.0, 0.0]
[90.02873500010587, -548.3224320171917]
[122.55016016024089, -563.8020347636709]
[130.54604973249616, -560.0937414797154]
[137.17900910861056, -584.373004928536]
[140.30452582712775, -569.2667195455205]
[147.9056965442316, -615.379437732234]
[151.16127978443964, -605.2708826256819]
[158.8423975205777, -609.2579217548454]
[169.04931508791188, -610.7969941423863]
[189.60072178897462, -632.7699785537683]
[186.6421868671351, -571.0951358904676]
[202.01683622409, -608.0934142616787]
[209.71026444991816, -594.3373304518011]
[221.91426498641454, -598.7782361726103]
[244.45083610951875, -596.3260337089382]
[240.94884908882574, -568.824597982729]
[245.2822019189006, -572.3068126023569]
[253.0246352484517, -577.2476831628047]
[258.2691293037677, -580.2075508327783]
[273.0987133044408, -584.3094030642669]
[273.2083529393533, -585.0499125757703]
[281.66229718702124, -599.6519676442151]
[284.09754365096757, -599.7507393303582]
[295.41895120524475, -591.0609138655175]
[308.974116978504, -599.9547925833346]
[311.51838526186214, -591.3766195286644]
[326.97560512081435, -597.1405182055611]
[321.92770687265846, -573.0221023620468]
[344.0766107391184, -584.8918003025376]
[342.05854889106917, -571.3895085891427]
[353.1202439030287, -560.5735239065514]
[356.93691235504787, -559.39115796769]
[366.1592283920275, -564.8623877696627]
[373.3797559565612, -574.2080585089855]
[388.01590185919383, -579.3543057018271]
